overs,battingteam,bowlingteam,venue,season,runs
0,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,0
0,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,1
0,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,2
1,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,2
1,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,6
1,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,7
2,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,8
2,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,12
2,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,18
2,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,21
3,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,22
3,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,23
3,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,25
3,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,31
4,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,31
4,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,32
4,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,36
4,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,37
5,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,41
5,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,42
5,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,43
5,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,44
0,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,0
0,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,1
0,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,5
1,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,5
1,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,9
1,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,11
2,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,11
3,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,16
3,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,22
4,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,23
4,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,24
4,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,25
5,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,25
5,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,26
5,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,27
5,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,31
0,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,0
0,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,1
0,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,2
0,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,8
1,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,8
1,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,9
1,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,13
2,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,13
2,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,17
3,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,21
3,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,25
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,26
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,27
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,29
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,33
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,37
5,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,37
5,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,41
5,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,45
5,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,46
0,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,0
0,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,6
0,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,10
0,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,16
1,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,16
1,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,20
1,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,22
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,22
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,23
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,27
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,31
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,37
3,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,37
3,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,38
3,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,40
3,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,42
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,44
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,45
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,51
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,57
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,61
5,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,61
5,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,62
5,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,66
5,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,67
0,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,0
0,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,1
0,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,4
1,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,8
1,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,9
1,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,13
2,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,17
2,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,19
2,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,20
3,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,21
3,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,22
3,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,23
3,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,24
4,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,24
4,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,28
4,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,32
5,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,33
5,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,37
5,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,41
5,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,47
5,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,51
5,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,52
0,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,0
0,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,1
0,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,2
0,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,8
1,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,8
1,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,11
1,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,12
1,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,13
2,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,15
2,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,16
2,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,18
2,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,19
2,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,20
3,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,24
3,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,30
3,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,31
4,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,35
4,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,41
4,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,45
5,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,49
5,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,55
5,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,61
5,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,2022,62
0,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,0
0,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,1
0,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,5
0,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,9
1,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,9
1,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,11
2,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,11
2,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,13
2,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,17
2,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,18
3,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,24
3,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,28
4,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,33
4,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,34
4,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,38
4,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,42
5,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,43
5,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,49
5,Rajasthan Royals,Gujarat Titans,Eden Gardens,2022,55
0,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,0
0,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,4
1,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,4
1,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,8
1,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,9
1,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,14
1,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,18
2,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,19
2,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,21
2,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,25
2,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,29
3,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,29
3,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,30
3,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,31
4,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,35
4,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,37
4,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,38
4,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,42
4,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,46
4,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,47
5,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,48
5,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,54
5,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,58
5,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,62
5,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,63
5,Gujarat Titans,Rajasthan Royals,Eden Gardens,2022,64
0,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,1
0,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,5
1,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,5
1,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,6
1,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,7
1,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,9
2,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,13
2,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,14
2,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,18
3,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,18
3,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,20
3,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,24
4,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,24
4,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,25
4,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,26
4,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,30
4,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,31
4,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,32
5,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,32
5,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,38
5,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,39
5,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,2022,43
0,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,0
0,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,4
0,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,8
0,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,12
1,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,13
1,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,17
1,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,21
1,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,22
2,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,22
2,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,23
2,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,24
2,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,25
2,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,28
3,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,29
3,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,30
3,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,31
3,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,37
3,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,38
4,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,42
4,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,43
4,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,47
5,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,48
5,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,49
5,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,50
5,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,56
5,Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,2022,62
0,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,0
0,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,4
0,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,6
1,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,7
1,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,8
1,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,12
2,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,12
2,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,18
2,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,19
2,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,20
2,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,21
3,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,22
3,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,23
3,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,24
4,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,28
4,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,29
5,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,29
5,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,31
5,Delhi Capitals,Mumbai Indians,Wankhede Stadium,2022,37
0,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,0
0,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,1
1,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,5
1,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,9
1,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,15
2,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,15
2,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,16
3,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,16
3,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,22
3,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,23
3,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,24
4,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,25
5,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,25
5,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,26
5,Mumbai Indians,Delhi Capitals,Wankhede Stadium,2022,27
0,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,2
1,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,2
1,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,3
2,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,3
2,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,9
2,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,13
2,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,15
3,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,19
3,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,23
3,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,29
3,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,33
4,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,34
4,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,38
4,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,42
4,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,48
4,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,49
5,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,55
5,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,59
5,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,63
5,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,67
5,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,71
5,Chennai Super Kings,Rajasthan Royals,Brabourne Stadium,2022,75
0,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,4
0,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,8
0,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,9
0,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,11
1,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,15
1,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,16
1,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,18
2,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,18
2,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,22
2,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,26
3,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,30
3,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,31
3,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,32
3,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,33
3,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,37
4,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,41
4,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,42
4,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,46
4,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,47
5,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,47
5,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,48
5,Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,2022,52
0,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,4
0,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,10
0,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,14
1,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,15
1,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,19
1,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,20
2,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,20
2,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,21
3,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,21
3,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,22
3,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,23
4,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,27
4,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,33
4,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,37
4,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,38
5,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,2022,38
0,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,1
0,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,5
1,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,6
1,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,7
1,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,8
2,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,8
2,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,12
2,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,17
2,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,21
2,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,22
2,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,26
3,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,26
3,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,30
3,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,34
3,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,35
3,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,36
3,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,40
4,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,42
4,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,43
4,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,44
4,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,48
4,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,49
5,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,49
5,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,53
5,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,54
5,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,2022,55
0,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,0
0,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,1
0,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,2
0,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,4
0,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,8
1,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,8
1,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,9
1,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,13
1,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,14
2,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,14
2,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,15
2,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,16
2,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,22
3,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,24
3,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,25
3,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,26
4,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,26
4,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,27
4,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,33
4,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,37
4,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,38
5,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,38
5,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports Academy,2022,39
